,AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,dt_year,dt_month,dt_dayofweek,AgeuponOutcome_days,sex,desexed,Breed_is_mix,dogsize
9429,A670161,Shadow,2015-07-23 14:43:00,Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/White,2015,7,3,730.0,Male,Yes,True,s
9430,A720013,Blackie,2016-02-03 12:33:00,Return_to_owner,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Black,2016,2,2,1825.0,Female,Yes,True,s
9431,A706199,Ronan,2015-10-18 18:55:00,Adoption,,Dog,Neutered Male,5 years,American Pit Bull Terrier Mix,Chocolate/White,2015,10,6,1825.0,Male,Yes,True,m
9432,A699185,Jane,2015-05-09 12:19:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Black/White,2015,5,5,365.0,Female,Yes,True,s
9433,A683672,Oso,2014-07-23 15:07:00,Euthanasia,Aggressive,Dog,Neutered Male,2 years,Labrador Retriever Mix,White,2014,7,2,730.0,Male,Yes,True,m
9434,A693500,Brutus,2014-12-20 12:28:00,Transfer,Partner,Dog,Neutered Male,5 years,Miniature Poodle,Cream,2014,12,5,1825.0,Male,Yes,False,s
9435,A713251,Bandit,2015-10-10 16:14:00,Return_to_owner,,Cat,Neutered Male,3 years,Russian Blue Mix,Blue,2015,10,5,1095.0,Male,Yes,True,u
9436,A665983,Brandy,2013-10-25 17:57:00,Transfer,Partner,Dog,Intact Female,1 year,Pit Bull Mix,Brown/White,2013,10,4,365.0,Female,No,True,m
9437,A701480,Pete,2015-05-12 12:02:00,Transfer,Partner,Dog,Neutered Male,6 months,Dachshund Mix,Black/White,2015,5,1,180.0,Male,Yes,True,s
9438,A718632,Cher,2016-01-06 16:47:00,Transfer,Partner,Dog,Spayed Female,3 years,Chinese Crested/Papillon,White/Brown,2016,1,2,1095.0,Female,Yes,False,s
9439,A718874,,2016-01-08 16:40:00,Euthanasia,Suffering,Cat,Unknown,5 years,Domestic Shorthair Mix,White/Brown Tabby,2016,1,4,1825.0,,,True,u
9440,A692324,,2014-11-18 17:28:00,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby,2014,11,1,14.0,Male,No,True,u
9441,A708874,Louanne,2015-09-27 12:35:00,Adoption,Offsite,Dog,Spayed Female,2 years,Catahoula Mix,Blue Merle,2015,9,6,730.0,Female,Yes,True,u
9442,A593434,Maggie,2016-01-04 15:05:00,Return_to_owner,,Dog,Spayed Female,5 years,English Coonhound/Australian Cattle Dog,Red Tick/Red,2016,1,0,1825.0,Female,Yes,False,u
9443,A710431,,2015-08-25 15:15:00,Transfer,Partner,Dog,Intact Male,4 months,Labrador Retriever Mix,Brown,2015,8,1,120.0,Male,No,True,m
9444,A711969,Cookie2,2015-09-17 11:32:00,Transfer,Partner,Dog,Intact Female,2 years,Shih Tzu Mix,Sable,2015,9,3,730.0,Female,No,True,s
9445,A691716,Shiloh,2014-12-04 17:02:00,Transfer,Partner,Dog,Spayed Female,5 years,Labrador Retriever Mix,Black/White,2014,12,3,1825.0,Female,Yes,True,m
9446,A668324,Eli,2014-05-05 15:30:00,Adoption,,Dog,Neutered Male,4 years,Boxer Mix,Red/White,2014,5,0,1460.0,Male,Yes,True,m
9447,A710285,,2015-08-21 09:00:00,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black,2015,8,4,90.0,Male,No,True,u
9448,A702102,Yogi Bear,2015-05-20 12:46:00,Adoption,,Dog,Neutered Male,1 year,American Pit Bull Terrier Mix,Black/Yellow Brindle,2015,5,2,365.0,Male,Yes,True,m
9449,A665742,Maggie,2013-10-26 18:05:00,Adoption,,Dog,Spayed Female,1 year,Dachshund/Chihuahua Shorthair,White/Red,2013,10,5,365.0,Female,Yes,False,s
9450,A696241,Marley,2015-02-01 13:28:00,Return_to_owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/Cream,2015,2,6,1095.0,Male,Yes,True,s
9451,A682753,Janet,2014-07-17 11:55:00,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue/White,2014,7,3,60.0,Female,No,True,u
9452,A673354,Simba,2014-02-28 16:39:00,Adoption,,Dog,Neutered Male,5 months,Chihuahua Shorthair/Dachshund,Tan/White,2014,2,4,150.0,Male,Yes,False,s
9453,A687541,Bella,2014-09-07 16:56:00,Return_to_owner,,Dog,Intact Female,2 years,American Staffordshire Terrier Mix,Fawn/White,2014,9,6,730.0,Female,No,True,m
9454,A688336,,2014-09-22 16:47:00,Transfer,Partner,Dog,Neutered Male,2 years,Miniature Poodle Mix,White,2014,9,0,730.0,Male,Yes,True,s
9455,A700532,Beau,2015-04-19 16:57:00,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,2015,4,6,365.0,Male,Yes,True,u
9456,A684000,,2014-07-18 18:25:00,Transfer,Partner,Cat,Unknown,1 weeks,Siamese,Seal Point,2014,7,4,7.0,,,False,u
9457,A715852,Noodles,2015-11-21 15:05:00,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White,2015,11,5,90.0,Male,Yes,True,u
9458,A714361,Claudia,2015-11-02 17:35:00,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,2015,11,0,30.0,Female,No,True,u
9459,A684862,Kennedy,2014-09-08 13:59:00,Euthanasia,Behavior,Dog,Neutered Male,2 years,Pit Bull Mix,Black,2014,9,0,730.0,Male,Yes,True,m
9460,A693787,,2014-12-15 10:21:00,Euthanasia,Suffering,Dog,Intact Male,2 days,Labrador Retriever Mix,Brown,2014,12,0,2.0,Male,No,True,m
9461,A715260,Fania,2015-11-03 12:39:00,Return_to_owner,,Dog,Intact Female,1 year,Labrador Retriever Mix,Black,2015,11,1,365.0,Female,No,True,m
9462,A693805,Gray-1,2014-12-19 11:40:00,Euthanasia,Suffering,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Orange Tabby/White,2014,12,4,1460.0,Male,Yes,True,u
9463,A612004,Shya,2015-12-14 14:16:00,Return_to_owner,,Dog,Spayed Female,6 years,Jack Russell Terrier Mix,White/Brown,2015,12,0,2190.0,Female,Yes,True,s
9464,A694333,Ramone,2015-01-18 17:39:00,Adoption,,Cat,Neutered Male,1 year,Domestic Longhair Mix,Black,2015,1,6,365.0,Male,Yes,True,u
9465,A678049,,2014-05-03 16:15:00,Transfer,Partner,Cat,Intact Female,3 weeks,Siamese Mix,Lynx Point,2014,5,5,21.0,Female,No,True,u
9466,A682922,,2014-12-21 15:00:00,Euthanasia,Suffering,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico,2014,12,6,730.0,Female,Yes,True,u
9467,A707789,Aspen,2015-07-23 18:39:00,Adoption,,Dog,Neutered Male,10 months,Siberian Husky Mix,White,2015,7,3,300.0,Male,Yes,True,m
9468,A700970,Yogi,2015-04-23 15:25:00,Return_to_owner,,Dog,Spayed Female,10 years,Labrador Retriever Mix,Black/White,2015,4,3,3650.0,Female,Yes,True,m
9469,A712256,,2015-09-20 09:00:00,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,White/Black,2015,9,6,730.0,Female,No,True,u
9470,A711689,Bella,2015-09-10 18:35:00,Euthanasia,Suffering,Dog,Intact Female,3 years,Chihuahua Shorthair/Dachshund,Tricolor,2015,9,3,1095.0,Female,No,False,s
9471,A669893,Buddy,2014-01-02 17:08:00,Adoption,,Dog,Neutered Male,2 years,Jack Russell Terrier,White/Brown,2014,1,3,730.0,Male,Yes,False,s
9472,A716203,Sunny,2016-01-02 18:07:00,Adoption,Foster,Dog,Spayed Female,1 month,Cairn Terrier Mix,Black/Brown,2016,1,5,30.0,Female,Yes,True,s
9473,A705188,Willow,2015-07-03 14:46:00,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Brown Tabby/White,2015,7,4,1460.0,Female,Yes,True,u
9474,A690866,Cupcake,2014-10-31 15:09:00,Transfer,Partner,Dog,Intact Female,1 year,Australian Cattle Dog Mix,White/Brown,2014,10,4,365.0,Female,No,True,m
9475,A679089,Romeo,2014-08-06 17:48:00,Transfer,Partner,Dog,Neutered Male,3 years,American Staffordshire Terrier Mix,Black/White,2014,8,2,1095.0,Male,Yes,True,m
9476,A719963,Jolene,2016-02-15 13:33:00,Adoption,,Dog,Spayed Female,2 years,Border Collie Mix,Black/White,2016,2,0,730.0,Female,Yes,True,m
9477,A563536,Romeo,2015-01-12 13:57:00,Return_to_owner,,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Cream Tabby/White,2015,1,0,3650.0,Male,Yes,True,u
9478,A711126,Louisa,2015-09-08 18:24:00,Adoption,,Dog,Spayed Female,6 months,Pit Bull Mix,White/Black,2015,9,1,180.0,Female,Yes,True,m
9479,A698027,Gizmo,2015-03-06 18:34:00,Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Chocolate/Tan,2015,3,4,730.0,Male,Yes,True,s
9480,A708605,Samantha,2015-08-03 17:50:00,Adoption,,Dog,Spayed Female,1 year,Siberian Husky Mix,Gray/Black,2015,8,0,365.0,Female,Yes,True,m
9481,A717002,Joy,2015-12-12 17:41:00,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Sable/White,2015,12,5,730.0,Female,Yes,True,m
9482,A668491,,2013-12-06 17:25:00,Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Blue Tabby,2013,12,4,90.0,Female,No,True,u
9483,A676717,Zorrito,2014-04-23 14:29:00,Return_to_owner,,Dog,Neutered Male,1 year,Shih Tzu Mix,White/Black,2014,4,2,365.0,Male,Yes,True,s
9484,A699993,Marley,2015-04-07 18:08:00,Return_to_owner,,Dog,Spayed Female,1 year,Labrador Retriever/Standard Poodle,Buff,2015,4,1,365.0,Female,Yes,False,m
9485,A672771,Irma,2014-02-17 13:51:00,Return_to_owner,,Dog,Intact Female,7 years,Cavalier Span Mix,White/Liver,2014,2,0,2555.0,Female,No,True,s
9486,A692585,,2014-11-28 18:45:00,Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby,2014,11,4,60.0,Male,Yes,True,u
9487,A706456,Amherst,2015-08-23 18:10:00,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black,2015,8,6,120.0,Female,Yes,True,u
9488,A665453,Topher,2013-11-20 12:35:00,Adoption,,Dog,Neutered Male,1 year,German Shepherd/Nova Scotia Duck Tolling Retriever,Tan/Black,2013,11,2,365.0,Male,Yes,False,l
9489,A700956,Mars,2015-04-28 16:45:00,Adoption,,Dog,Neutered Male,1 year,Miniature Poodle/Australian Cattle Dog,Blue Tick/Black,2015,4,1,365.0,Male,Yes,False,s
9490,A712031,,2015-09-16 10:45:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,2015,9,2,21.0,Male,No,True,u
9491,A701794,Bilby,2015-07-16 10:54:00,Adoption,Foster,Cat,Spayed Female,3 months,Snowshoe Mix,Seal Point/White,2015,7,3,90.0,Female,Yes,True,u
9492,A700468,Blitz,2015-04-21 17:52:00,Return_to_owner,,Dog,Intact Male,5 years,Pit Bull Mix,Blue/White,2015,4,1,1825.0,Male,No,True,m
9493,A690033,Magic,2014-11-29 11:38:00,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black,2014,11,5,60.0,Male,Yes,True,u
9494,A706745,Phoebe,2015-07-08 14:28:00,Transfer,Partner,Dog,Spayed Female,6 years,Shih Tzu Mix,Tan/White,2015,7,2,2190.0,Female,Yes,True,s
9495,A711946,Ellie,2015-09-18 13:15:00,Adoption,,Dog,Spayed Female,1 year,Siberian Husky Mix,White/Tan,2015,9,4,365.0,Female,Yes,True,m
9496,A672666,Katie,2014-02-21 13:31:00,Transfer,SCRP,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,2014,2,4,365.0,Female,Yes,True,u
9497,A689086,,2014-09-29 14:32:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby,2014,9,0,21.0,Male,No,True,u
9498,A685631,,2014-08-11 09:00:00,Transfer,SCRP,Cat,Intact Male,10 months,Domestic Shorthair Mix,Black/White,2014,8,0,300.0,Male,No,True,u
9499,A664289,,2013-10-03 12:41:00,Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,2013,10,3,90.0,Female,No,True,u
9500,A679693,,2014-06-25 12:05:00,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Lynx Point,2014,6,2,60.0,Female,No,True,u
9501,A714669,Cota,2015-12-05 15:56:00,Return_to_owner,,Dog,Intact Male,2 years,Pit Bull Mix,Black/White,2015,12,5,730.0,Male,No,True,m
9502,A689516,Miles,2014-10-06 18:50:00,Return_to_owner,,Dog,Intact Male,2 years,Shih Tzu Mix,White/Tan,2014,10,0,730.0,Male,No,True,s
9503,A683287,,2014-07-17 17:42:00,Transfer,Partner,Dog,Intact Male,11 years,German Shepherd Mix,Brown/Black,2014,7,3,4015.0,Male,No,True,l
9504,A670006,Martin,2014-01-09 11:57:00,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White,2014,1,3,730.0,Male,Yes,True,s
9505,A668732,Sunshine,2013-12-13 17:20:00,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Orange Tabby/White,2013,12,4,120.0,Female,Yes,True,u
9506,A701358,,2015-05-04 15:32:00,Transfer,Partner,Dog,Unknown,6 days,English Bulldog Mix,Tan/White,2015,5,0,6.0,,,True,m
9507,A715318,Danny,2015-11-15 12:25:00,Transfer,Partner,Dog,Neutered Male,6 months,Akita Mix,Blue/Brown Brindle,2015,11,6,180.0,Male,Yes,True,l
9508,A694477,Wally,2015-02-23 13:25:00,Transfer,Partner,Dog,Neutered Male,1 year,Harrier,Tricolor,2015,2,0,365.0,Male,Yes,False,m
9509,A666220,Lola,2013-11-06 15:51:00,Adoption,,Dog,Spayed Female,10 months,English Bulldog/American Staffordshire Terrier,White/Tan,2013,11,2,300.0,Female,Yes,False,m
9510,A682781,,2014-07-03 09:00:00,Transfer,SCRP,Cat,Neutered Male,1 year,Domestic Shorthair Mix,White/Black,2014,7,3,365.0,Male,Yes,True,u
9511,A704390,Romeo,2015-06-10 16:16:00,Transfer,Partner,Dog,Neutered Male,5 years,St. Bernard Smooth Coat,Tricolor,2015,6,2,1825.0,Male,Yes,False,l
9512,A685277,Cashew,2014-08-12 15:32:00,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby/White,2014,8,1,30.0,Female,No,True,u
9513,A706675,Veronica,2015-09-24 15:35:00,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black,2015,9,3,90.0,Female,Yes,True,u
9514,A709972,Onyx,2015-09-01 17:13:00,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black,2015,9,1,365.0,Female,Yes,True,u
9515,A707879,,2015-07-19 14:50:00,Euthanasia,Suffering,Cat,Spayed Female,9 years,Domestic Longhair Mix,Blue,2015,7,6,3285.0,Female,Yes,True,u
9516,A684231,Lola,2014-07-21 16:06:00,Return_to_owner,,Dog,Spayed Female,16 years,Chihuahua Shorthair Mix,Yellow/White,2014,7,0,5840.0,Female,Yes,True,s
9517,A667074,Cassie,2013-11-23 16:26:00,Transfer,Partner,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Brown Tabby,2013,11,5,1825.0,Female,Yes,True,u
9518,A693659,Lika,2015-03-01 18:57:00,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/White,2015,3,6,365.0,Female,Yes,True,m
9519,A683024,Ruby,2014-07-10 14:13:00,Euthanasia,Medical,Dog,Intact Female,13 years,Collie Rough Mix,White/Black,2014,7,3,4745.0,Female,No,True,m
9520,A663170,Bandit,2014-02-24 12:34:00,Return_to_owner,,Dog,Neutered Male,10 years,Shih Tzu Mix,White/Brown,2014,2,0,3650.0,Male,Yes,True,s
9521,A702372,Tank,2015-06-07 12:51:00,Transfer,Partner,Dog,Intact Male,1 year,Pit Bull Mix,White/Blue,2015,6,6,365.0,Male,No,True,m
9522,A709597,Alexis,2015-08-24 18:53:00,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black/White,2015,8,0,60.0,Female,No,True,u
9523,A671028,Lexi,2014-02-01 13:46:00,Adoption,Offsite,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/Tan,2014,2,5,730.0,Female,Yes,True,s
9524,A637206,Rex,2014-07-14 16:50:00,Return_to_owner,,Dog,Neutered Male,2 years,Rottweiler Mix,Black/Tan,2014,7,0,730.0,Male,Yes,True,m
9525,A663044,Blue Meadow,2014-01-29 15:07:00,Transfer,Partner,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White,2014,1,2,1095.0,Female,Yes,True,m
9526,A698487,Olivia,2015-07-08 18:37:00,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White,2015,7,2,365.0,Female,Yes,True,m
9527,A680091,Chloe,2014-06-14 13:53:00,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Tortie,2014,6,5,120.0,Female,Yes,True,u
9528,A714887,,2015-10-31 17:48:00,Transfer,Partner,Dog,Neutered Male,6 months,Jack Russell Terrier Mix,Black/White,2015,10,5,180.0,Male,Yes,True,s
9529,A704306,Guero,2015-10-26 17:43:00,Return_to_owner,,Dog,Neutered Male,10 months,Chihuahua Shorthair Mix,Yellow,2015,10,0,300.0,Male,Yes,True,s
9530,A531598,Rocky,2014-02-18 16:53:00,Return_to_owner,,Dog,Neutered Male,6 years,Border Collie,Black/White,2014,2,1,2190.0,Male,Yes,False,m
9531,A701317,Sunny,2015-04-27 17:06:00,Return_to_owner,,Dog,Neutered Male,4 years,Pug,Black,2015,4,0,1460.0,Male,Yes,False,s
9532,A651682,Savannah,2014-02-01 13:30:00,Adoption,,Dog,Spayed Female,11 months,Greyhound Mix,Tan/White,2014,2,5,330.0,Female,Yes,True,l
9533,A694898,,2015-01-08 12:38:00,Return_to_owner,,Dog,Intact Female,2 weeks,Pit Bull Mix,Black/White,2015,1,3,14.0,Female,No,True,m
9534,A706141,,2015-06-25 18:43:00,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black/White,2015,6,3,28.0,Female,No,True,u
9535,A661128,Sasha,2013-11-16 16:52:00,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,2013,11,5,90.0,Female,Yes,True,u
9536,A703547,,2015-07-22 09:04:00,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,2015,7,2,60.0,Male,Yes,True,u
9537,A717816,Merlin,2015-12-19 14:21:00,Return_to_owner,,Cat,Spayed Female,10 months,Siamese Mix,Lynx Point,2015,12,5,300.0,Female,Yes,True,u
9538,A713400,,2015-10-08 13:47:00,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black,2015,10,3,28.0,Female,No,True,u
9539,A670309,More,2014-01-26 11:14:00,Adoption,,Cat,Neutered Male,9 months,Domestic Shorthair Mix,Blue/White,2014,1,6,270.0,Male,Yes,True,u
9540,A672755,Lucky,2014-02-18 17:50:00,Return_to_owner,,Dog,Neutered Male,7 years,Beagle/Dachshund,Tricolor,2014,2,1,2555.0,Male,Yes,False,m
9541,A690614,Morris,2014-12-04 12:27:00,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,2014,12,3,60.0,Male,Yes,True,u
9542,A678228,,2014-05-06 15:59:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,2014,5,1,21.0,Male,No,True,u
9543,A696531,,2015-02-07 09:00:00,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Longhair Mix,Brown Tabby,2015,2,5,365.0,Male,No,True,u
9544,A678351,Gemma,2014-06-16 16:03:00,Adoption,Foster,Dog,Spayed Female,1 year,Pit Bull Mix,White/Tan,2014,6,0,365.0,Female,Yes,True,m
9545,A710926,,2015-08-30 16:25:00,Transfer,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Gray Tabby,2015,8,6,1.0,,,True,u
9546,A671149,,2014-01-23 17:24:00,Transfer,Partner,Dog,Spayed Female,1 year,Cardigan Welsh Corgi Mix,Black/Tan,2014,1,3,365.0,Female,Yes,True,m
9547,A703801,Kieran,2015-07-06 17:13:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Blue,2015,7,0,60.0,Male,Yes,True,u
9548,A675642,,2014-04-03 13:32:00,Euthanasia,Suffering,Dog,Neutered Male,14 years,Chihuahua Shorthair/Beagle,Brown/Black,2014,4,3,5110.0,Male,Yes,False,s
9549,A688513,Jasmine,2014-09-26 16:19:00,Adoption,,Cat,Spayed Female,4 months,Siamese Mix,Lynx Point,2014,9,4,120.0,Female,Yes,True,u
9550,A705141,Shane,2015-06-22 12:57:00,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,2015,6,0,30.0,Male,No,True,u
9551,A690696,Leia,2014-11-10 10:01:00,Euthanasia,Behavior,Dog,Intact Female,5 years,Pit Bull Mix,Brown Brindle,2014,11,0,1825.0,Female,No,True,m
9552,A712858,,2015-09-29 14:32:00,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Black,2015,9,1,7.0,,,True,u
9553,A678616,Chavez,2014-05-17 11:20:00,Return_to_owner,,Dog,Neutered Male,2 years,Miniature Schnauzer Mix,Black,2014,5,5,730.0,Male,Yes,True,s
9554,A668290,,2013-12-01 18:36:00,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Longhair Mix,Black/Chocolate,2013,12,6,28.0,Male,No,True,u
9555,A680800,Stryker,2014-06-09 17:20:00,Return_to_owner,,Dog,Neutered Male,2 years,German Shepherd Mix,White,2014,6,0,730.0,Male,Yes,True,l
9556,A643280,Nala,2014-07-27 18:19:00,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,White/Blue Cream,2014,7,6,1095.0,Female,Yes,True,m
9557,A719449,Taz,2016-01-23 13:24:00,Transfer,Partner,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Black/Tan,2016,1,5,2555.0,Male,Yes,True,s
9558,A693987,,2014-12-22 17:44:00,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black,2014,12,0,365.0,Female,Yes,True,m
9559,A699169,Deuce,2015-03-26 17:15:00,Return_to_owner,,Dog,Neutered Male,8 years,Labrador Retriever/German Shepherd,Brown,2015,3,3,2920.0,Male,Yes,False,m
9560,A680298,Buddy,2014-06-05 13:04:00,Return_to_owner,,Dog,Neutered Male,2 years,Miniature Poodle Mix,White,2014,6,3,730.0,Male,Yes,True,s
9561,A680582,,2014-06-04 17:43:00,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White,2014,6,2,14.0,,,True,u
9562,A666251,Knox,2013-11-01 11:09:00,Return_to_owner,,Dog,Neutered Male,1 year,Siberian Husky Mix,Gray/White,2013,11,4,365.0,Male,Yes,True,m
9563,A709473,Annie,2015-08-16 18:43:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Yellow/White,2015,8,6,365.0,Female,Yes,True,s
9564,A665006,Sasha,2013-12-22 11:48:00,Adoption,,Dog,Spayed Female,8 months,Border Collie Mix,White/Brown,2013,12,6,240.0,Female,Yes,True,m
9565,A708087,Lily,2015-08-23 19:33:00,Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Brown Tabby/White,2015,8,6,30.0,Female,Yes,True,u
9566,A664002,Friskey,2013-10-11 17:17:00,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Tortie,2013,10,4,180.0,Female,Yes,True,u
9567,A691333,Marty,2014-11-11 13:44:00,Transfer,Partner,Dog,Neutered Male,1 year,Miniature Poodle Mix,White,2014,11,1,365.0,Male,Yes,True,s
9568,A672734,Nino,2014-02-27 18:50:00,Return_to_owner,,Dog,Neutered Male,8 months,Chihuahua Shorthair Mix,Tan,2014,2,3,240.0,Male,Yes,True,s
9569,A696628,,2015-02-08 18:58:00,Euthanasia,Suffering,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black,2015,2,6,365.0,Male,No,True,u
9570,A664157,Ponyo,2013-10-11 17:30:00,Adoption,Foster,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Tricolor,2013,10,4,60.0,Female,Yes,True,s
9571,A652379,Bubba,2015-03-23 15:13:00,Euthanasia,Suffering,Cat,Neutered Male,4 years,Domestic Medium Hair,Black,2015,3,0,1460.0,Male,Yes,False,u
9572,A713748,Itty Bitty,2015-10-18 16:46:00,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White/Brown Tabby,2015,10,6,365.0,Female,Yes,True,u
9573,A695238,Chester,2015-01-12 13:39:00,Return_to_owner,,Dog,Neutered Male,2 years,Border Collie Mix,Tan/White,2015,1,0,730.0,Male,Yes,True,m
9574,A701441,Lacy,2015-05-12 12:02:00,Transfer,Partner,Dog,Spayed Female,6 months,Labrador Retriever/German Shepherd,Brown,2015,5,1,180.0,Female,Yes,False,m
9575,A711112,Malarkey,2015-10-22 10:10:00,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,2015,10,3,60.0,Male,Yes,True,u
9576,A704105,Hibiscus,2015-06-15 15:39:00,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,White/Black,2015,6,0,90.0,Female,Yes,True,u
9577,A699221,Coast,2015-03-28 17:40:00,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,2015,3,5,730.0,Male,Yes,True,m
9578,A681697,,2014-06-19 15:44:00,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White,2014,6,3,30.0,Male,No,True,u
9579,A716856,Growler,2015-12-20 14:55:00,Adoption,,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Brown Tabby,2015,12,6,210.0,Male,Yes,True,u
9580,A665153,,2013-10-18 17:28:00,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Orange Tabby,2013,10,4,180.0,Male,Yes,True,u
9581,A711720,Lucy,2016-02-03 12:44:00,Adoption,Foster,Dog,Spayed Female,1 year,Pointer/Bull Terrier,White/Brown,2016,2,2,365.0,Female,Yes,False,m
9582,A676004,Scratch,2014-04-03 13:18:00,Euthanasia,Suffering,Cat,Intact Female,5 years,Domestic Shorthair Mix,Blue Tabby,2014,4,3,1825.0,Female,No,True,u
9583,A713722,Blaze,2015-10-12 17:09:00,Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,2015,10,0,730.0,Male,Yes,True,m
9584,A679223,Steve-O,2014-05-18 12:06:00,Return_to_owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,White/Brown,2014,5,6,1095.0,Male,Yes,True,s
9585,A710194,Oscar,2015-08-31 15:21:00,Adoption,,Cat,Neutered Male,8 years,Maine Coon Mix,Brown Tabby/White,2015,8,0,2920.0,Male,Yes,True,u
9586,A700027,,2015-04-18 13:04:00,Euthanasia,Aggressive,Dog,Intact Female,1 year,Pit Bull Mix,Brown/White,2015,4,5,365.0,Female,No,True,m
9587,A682793,Jenkins,2014-07-19 17:01:00,Adoption,,Dog,Neutered Male,1 year,German Shepherd Mix,Sable/Tan,2014,7,5,365.0,Male,Yes,True,l
